split,feature_set,model,fold,n_test,seconds,n_trials,seeds_per_trial,accuracy,f1_weighted,f1_class0,f1_class1,auc_roc
lodo,tfidf,LightGBM,economia,8,463.3,200,3,0.5,0.4666666666666667,0.3333333333333333,0.6,0.375
temporal,tfidf,XGBoost,all,99,338.3,200,3,0.6161616161616161,0.6125541125541126,0.5476190476190477,0.6666666666666666,0.713991769547325
lodo,tfidf,LightGBM,saúde,143,913.9,200,3,0.5874125874125874,0.587008743226626,0.5986394557823129,0.5755395683453237,0.620011737089202
lodo,tfidf,XGBoost,política,435,252.3,200,3,0.5586206896551724,0.5429949782683091,0.4606741573033708,0.6264591439688716,0.5922649247420936
lodo,tfidf,XGBoost,outros,44,389.6,200,3,0.6590909090909091,0.6475128644939966,0.5714285714285714,0.7169811320754716,0.7349896480331263
lodo,tfidf,XGBoost,ambiente,22,380.8,200,3,0.6818181818181818,0.6757894736842105,0.72,0.631578947368421,0.7024793388429752
lodo,tfidf,XGBoost,celebridades,8,526.2,200,3,0.625,0.6190476190476191,0.5714285714285714,0.6666666666666666,0.6875
lodo,bert,LogisticRegression,política,435,41.0,200,3,0.7195402298850575,0.7174424295332197,0.7426160337552743,0.6919191919191919,0.7929773380686622
lodo,bert,LogisticRegression,outros,44,218.1,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9233954451345756
lodo,bert,LogisticRegression,ambiente,22,222.0,200,3,0.8636363636363636,0.8633540372670807,0.8695652173913043,0.8571428571428571,0.8842975206611571
temporal,bert,LogisticRegression,all,99,710.2,200,3,0.797979797979798,0.7982698187784325,0.782608695652174,0.8113207547169812,0.8662551440329218
lodo,tfidf,XGBoost,saúde,143,1205.2,200,3,0.5734265734265734,0.5730090396071896,0.5850340136054422,0.5611510791366906,0.6168818466353677
lodo,bert,LogisticRegression,celebridades,8,454.7,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.625
lodo,bert,LogisticRegression,saúde,143,509.3,200,3,0.7062937062937062,0.6902733630006358,0.6181818181818182,0.7613636363636364,0.7928403755868544
lodo,bert,SVC,política,435,80.4,200,3,0.7126436781609196,0.7108271447342273,0.7346072186836518,0.6867167919799498,0.7829570438017927
temporal,bert,SVC,all,99,307.1,200,3,0.8383838383838383,0.8387144770123495,0.8297872340425532,0.8461538461538461,0.8827160493827159
lodo,bert,SVC,outros,44,352.6,200,3,0.8636363636363636,0.8636363636363636,0.8571428571428571,0.8695652173913043,0.917184265010352
lodo,bert,SVC,ambiente,22,311.2,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.9256198347107438
lodo,bert,SVC,saúde,143,303.0,200,3,0.6783216783216783,0.6650004422342244,0.5964912280701754,0.7325581395348837,0.8219874804381847
lodo,bert,LogisticRegression,economia,8,1211.9,200,3,0.5,0.5,0.5,0.5,0.5625
lodo,bert,SVC,celebridades,8,357.6,200,3,0.75,0.7333333333333334,0.8,0.6666666666666666,0.5625
lodo,bert,SVC,economia,8,367.0,200,3,0.375,0.365079365079365,0.4444444444444444,0.2857142857142857,0.4375
lodo,bert,RandomForest,política,435,475.4,200,3,0.7080459770114943,0.7059781487936516,0.7315010570824524,0.6801007556675063,0.7880200405885337
lodo,tfidf,XGBoost,economia,8,2830.7,200,3,0.5,0.4666666666666667,0.3333333333333333,0.6,0.5625
temporal,bert,RandomForest,all,99,1691.9,200,3,0.8585858585858586,0.8588751673858057,0.851063829787234,0.8653846153846154,0.8757201646090536
lodo,bert,RandomForest,ambiente,22,1237.0,200,3,0.8181818181818182,0.8166666666666668,0.8333333333333334,0.8,0.9173553719008264
lodo,bert,RandomForest,outros,44,1706.0,200,3,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8819875776397517
temporal,bert,DecisionTree,all,99,222.5,200,3,0.7272727272727273,0.7274968022631574,0.7032967032967034,0.7476635514018691,0.6874485596707819
lodo,bert,DecisionTree,política,435,67.0,200,3,0.5333333333333333,0.5296522318454364,0.5726315789473684,0.4860759493670886,0.5455035514967023
lodo,bert,RandomForest,saúde,143,1589.1,200,3,0.6573426573426573,0.6494133965208345,0.5950413223140496,0.703030303030303,0.7717136150234741
lodo,bert,DecisionTree,outros,44,177.5,200,3,0.6363636363636364,0.627177033492823,0.68,0.5789473684210527,0.6273291925465838
lodo,bert,DecisionTree,ambiente,22,183.2,200,3,0.6818181818181818,0.6644880174291938,0.7407407407407407,0.5882352941176471,0.6818181818181819
