protocol,model,overlap_definition,accuracy_unseen,accuracy_seen,n_unseen,n_seen,accuracy_gap_seen_minus_unseen
temporal,bert-LogisticRegression,author_seen_in_development,0.7746478873239436,0.8571428571428571,71,28,0.08249496981891347
temporal,bert-LogisticRegression,author_seen_in_fit_train,0.759493670886076,0.95,79,20,0.19050632911392396
temporal,bert-RandomForest,author_seen_in_development,0.8591549295774648,0.8571428571428571,71,28,-0.002012072434607659
temporal,bert-RandomForest,author_seen_in_fit_train,0.8354430379746836,0.95,79,20,0.1145569620253164
temporal,bert-SVC,author_seen_in_development,0.8450704225352113,0.8214285714285714,71,28,-0.023641851106639855
temporal,bert-SVC,author_seen_in_fit_train,0.8227848101265823,0.9,79,20,0.07721518987341769
temporal,bert-XGBoost,author_seen_in_development,0.7746478873239436,0.8214285714285714,71,28,0.04678068410462777
temporal,bert-XGBoost,author_seen_in_fit_train,0.759493670886076,0.9,79,20,0.14050632911392402
temporal,bert_llm-LogisticRegression,author_seen_in_development,0.8309859154929577,0.8928571428571429,71,28,0.061871227364185155
temporal,bert_llm-LogisticRegression,author_seen_in_fit_train,0.8354430379746836,0.9,79,20,0.06455696202531647
temporal,bert_llm-RandomForest,author_seen_in_development,0.8450704225352113,0.8571428571428571,71,28,0.012072434607645843
temporal,bert_llm-RandomForest,author_seen_in_fit_train,0.8354430379746836,0.9,79,20,0.06455696202531647
temporal,bert_llm-SVC,author_seen_in_development,0.8450704225352113,0.8928571428571429,71,28,0.04778672032193165
temporal,bert_llm-SVC,author_seen_in_fit_train,0.8481012658227848,0.9,79,20,0.051898734177215244
temporal,bert_meta-LogisticRegression,author_seen_in_development,0.7887323943661971,0.9285714285714286,71,28,0.13983903420523147
temporal,bert_meta-LogisticRegression,author_seen_in_fit_train,0.7974683544303798,0.95,79,20,0.15253164556962018
temporal,bert_meta-RandomForest,author_seen_in_development,0.8028169014084507,0.8928571428571429,71,28,0.09004024144869216
temporal,bert_meta-RandomForest,author_seen_in_fit_train,0.7974683544303798,0.95,79,20,0.15253164556962018
temporal,bert_meta-SVC,author_seen_in_development,0.7746478873239436,0.8214285714285714,71,28,0.04678068410462777
temporal,bert_meta-SVC,author_seen_in_fit_train,0.759493670886076,0.9,79,20,0.14050632911392402
temporal,bert_num-LogisticRegression,author_seen_in_development,0.7605633802816901,0.8928571428571429,71,28,0.13229376257545278
temporal,bert_num-LogisticRegression,author_seen_in_fit_train,0.7721518987341772,0.9,79,20,0.1278481012658228
temporal,bert_num-RandomForest,author_seen_in_development,0.8169014084507042,0.8571428571428571,71,28,0.04024144869215285
temporal,bert_num-RandomForest,author_seen_in_fit_train,0.810126582278481,0.9,79,20,0.08987341772151902
temporal,bert_num-SVC,author_seen_in_development,0.704225352112676,0.8571428571428571,71,28,0.1529175050301811
temporal,bert_num-SVC,author_seen_in_fit_train,0.6962025316455697,0.95,79,20,0.2537974683544303
temporal,tfidf-DecisionTree,author_seen_in_development,0.676056338028169,0.7142857142857143,71,28,0.0382293762575453
temporal,tfidf-DecisionTree,author_seen_in_fit_train,0.6708860759493671,0.75,79,20,0.07911392405063289
temporal,tfidf-GradientBoosting,author_seen_in_development,0.6056338028169014,0.7857142857142857,71,28,0.18008048289738432
temporal,tfidf-GradientBoosting,author_seen_in_fit_train,0.6075949367088608,0.85,79,20,0.2424050632911392
temporal,tfidf-KNeighbors,author_seen_in_development,0.5352112676056338,0.6785714285714286,71,28,0.14336016096579485
temporal,tfidf-KNeighbors,author_seen_in_fit_train,0.5316455696202531,0.75,79,20,0.2183544303797469
temporal,tfidf-LightGBM,author_seen_in_development,0.6901408450704225,0.6071428571428571,71,28,-0.08299798792756541
temporal,tfidf-LightGBM,author_seen_in_fit_train,0.6835443037974683,0.6,79,20,-0.08354430379746836
temporal,tfidf-LogisticRegression,author_seen_in_development,0.6197183098591549,0.7857142857142857,71,28,0.16599597585513082
temporal,tfidf-LogisticRegression,author_seen_in_fit_train,0.620253164556962,0.85,79,20,0.22974683544303798
temporal,tfidf-MultinomialNB,author_seen_in_development,0.5492957746478874,0.6428571428571429,71,28,0.09356136820925554
temporal,tfidf-MultinomialNB,author_seen_in_fit_train,0.5443037974683544,0.7,79,20,0.1556962025316455
temporal,tfidf-RandomForest,author_seen_in_development,0.7183098591549296,0.75,71,28,0.03169014084507038
temporal,tfidf-RandomForest,author_seen_in_fit_train,0.7215189873417721,0.75,79,20,0.02848101265822789
temporal,tfidf-SVC,author_seen_in_development,0.6338028169014085,0.7142857142857143,71,28,0.08048289738430581
temporal,tfidf-SVC,author_seen_in_fit_train,0.620253164556962,0.8,79,20,0.17974683544303804
temporal,tfidf-XGBoost,author_seen_in_development,0.6197183098591549,0.6071428571428571,71,28,-0.012575452716297786
temporal,tfidf-XGBoost,author_seen_in_fit_train,0.620253164556962,0.6,79,20,-0.020253164556962022
