protocol,model,overlap_definition,author_seen,n,accuracy
lodo,tfidf-LogisticRegression,author_seen_in_fit_train,True,104,0.6346153846153846
lodo,tfidf-MultinomialNB,author_seen_in_development,False,548,0.583941605839416
lodo,tfidf-MultinomialNB,author_seen_in_development,True,112,0.6696428571428571
lodo,tfidf-MultinomialNB,author_seen_in_fit_train,False,556,0.5881294964028777
lodo,tfidf-MultinomialNB,author_seen_in_fit_train,True,104,0.6538461538461539
lodo,tfidf-RandomForest,author_seen_in_development,False,548,0.5875912408759124
lodo,tfidf-RandomForest,author_seen_in_development,True,112,0.6071428571428571
lodo,tfidf-RandomForest,author_seen_in_fit_train,False,556,0.5881294964028777
lodo,tfidf-RandomForest,author_seen_in_fit_train,True,104,0.6057692307692307
lodo,tfidf-SVC,author_seen_in_development,False,548,0.5802919708029197
lodo,tfidf-SVC,author_seen_in_development,True,112,0.5803571428571429
lodo,tfidf-SVC,author_seen_in_fit_train,False,556,0.5809352517985612
lodo,tfidf-SVC,author_seen_in_fit_train,True,104,0.5769230769230769
lodo,tfidf-XGBoost,author_seen_in_development,False,548,0.5711678832116789
lodo,tfidf-XGBoost,author_seen_in_development,True,112,0.5803571428571429
lodo,tfidf-XGBoost,author_seen_in_fit_train,False,556,0.5683453237410072
lodo,tfidf-XGBoost,author_seen_in_fit_train,True,104,0.5961538461538461
temporal,bert-DecisionTree,author_seen_in_development,False,71,0.7323943661971831
temporal,bert-DecisionTree,author_seen_in_development,True,28,0.7142857142857143
temporal,bert-DecisionTree,author_seen_in_fit_train,False,79,0.7088607594936709
temporal,bert-DecisionTree,author_seen_in_fit_train,True,20,0.8
temporal,bert-KNeighbors,author_seen_in_development,False,71,0.7323943661971831
temporal,bert-KNeighbors,author_seen_in_development,True,28,0.6785714285714286
temporal,bert-KNeighbors,author_seen_in_fit_train,False,79,0.7215189873417721
temporal,bert-KNeighbors,author_seen_in_fit_train,True,20,0.7
temporal,bert-LightGBM,author_seen_in_development,False,71,0.7746478873239436
temporal,bert-LightGBM,author_seen_in_development,True,28,0.75
temporal,bert-LightGBM,author_seen_in_fit_train,False,79,0.7468354430379747
temporal,bert-LightGBM,author_seen_in_fit_train,True,20,0.85
temporal,bert-LogisticRegression,author_seen_in_development,False,71,0.7746478873239436
temporal,bert-LogisticRegression,author_seen_in_development,True,28,0.8571428571428571
temporal,bert-LogisticRegression,author_seen_in_fit_train,False,79,0.759493670886076
temporal,bert-LogisticRegression,author_seen_in_fit_train,True,20,0.95
temporal,bert-RandomForest,author_seen_in_development,False,71,0.8591549295774648
temporal,bert-RandomForest,author_seen_in_development,True,28,0.8571428571428571
temporal,bert-RandomForest,author_seen_in_fit_train,False,79,0.8354430379746836
temporal,bert-RandomForest,author_seen_in_fit_train,True,20,0.95
temporal,bert-SVC,author_seen_in_development,False,71,0.8450704225352113
temporal,bert-SVC,author_seen_in_development,True,28,0.8214285714285714
temporal,bert-SVC,author_seen_in_fit_train,False,79,0.8227848101265823
temporal,bert-SVC,author_seen_in_fit_train,True,20,0.9
temporal,bert-XGBoost,author_seen_in_development,False,71,0.7746478873239436
temporal,bert-XGBoost,author_seen_in_development,True,28,0.8214285714285714
temporal,bert-XGBoost,author_seen_in_fit_train,False,79,0.759493670886076
temporal,bert-XGBoost,author_seen_in_fit_train,True,20,0.9
temporal,bert_llm-LogisticRegression,author_seen_in_development,False,71,0.8309859154929577
temporal,bert_llm-LogisticRegression,author_seen_in_development,True,28,0.8928571428571429
temporal,bert_llm-LogisticRegression,author_seen_in_fit_train,False,79,0.8354430379746836
temporal,bert_llm-LogisticRegression,author_seen_in_fit_train,True,20,0.9
temporal,bert_llm-RandomForest,author_seen_in_development,False,71,0.8450704225352113
temporal,bert_llm-RandomForest,author_seen_in_development,True,28,0.8571428571428571
temporal,bert_llm-RandomForest,author_seen_in_fit_train,False,79,0.8354430379746836
temporal,bert_llm-RandomForest,author_seen_in_fit_train,True,20,0.9
temporal,bert_llm-SVC,author_seen_in_development,False,71,0.8450704225352113
temporal,bert_llm-SVC,author_seen_in_development,True,28,0.8928571428571429
temporal,bert_llm-SVC,author_seen_in_fit_train,False,79,0.8481012658227848
temporal,bert_llm-SVC,author_seen_in_fit_train,True,20,0.9
temporal,bert_meta-LogisticRegression,author_seen_in_development,False,71,0.7887323943661971
temporal,bert_meta-LogisticRegression,author_seen_in_development,True,28,0.9285714285714286
temporal,bert_meta-LogisticRegression,author_seen_in_fit_train,False,79,0.7974683544303798
temporal,bert_meta-LogisticRegression,author_seen_in_fit_train,True,20,0.95
temporal,bert_meta-RandomForest,author_seen_in_development,False,71,0.8028169014084507
temporal,bert_meta-RandomForest,author_seen_in_development,True,28,0.8928571428571429
temporal,bert_meta-RandomForest,author_seen_in_fit_train,False,79,0.7974683544303798
temporal,bert_meta-RandomForest,author_seen_in_fit_train,True,20,0.95
temporal,bert_meta-SVC,author_seen_in_development,False,71,0.7746478873239436
temporal,bert_meta-SVC,author_seen_in_development,True,28,0.8214285714285714
temporal,bert_meta-SVC,author_seen_in_fit_train,False,79,0.759493670886076
