protocol,fold,n_test,seen_in_fit_train,seen_in_development
temporal,all,99,20,28
lodo,política,435,52,55
lodo,outros,44,13,13
lodo,ambiente,22,5,5
lodo,saúde,143,29,34
lodo,celebridades,8,1,1
lodo,economia,8,4,4
