model_a,model_b,a_acc,b_acc,delta_acc,n,n10,n01,statistic,p_value
bert-LightGBM,bert-LogisticRegression,0.7676767676767676,0.797979797979798,-0.030303030303030387,99,9,12,9.0,0.6636238098144531
bert-LightGBM,bert-RandomForest,0.7676767676767676,0.8585858585858586,-0.09090909090909094,99,0,9,0.0,0.00390625
bert-LightGBM,bert-SVC,0.7676767676767676,0.8383838383838383,-0.07070707070707072,99,3,10,3.0,0.09228515625
bert-LightGBM,bert-XGBoost,0.7676767676767676,0.7878787878787878,-0.02020202020202022,99,4,6,4.0,0.75390625
bert-LightGBM,bert_llm-LogisticRegression,0.7676767676767676,0.8484848484848485,-0.08080808080808088,99,4,12,4.0,0.076812744140625
bert-LightGBM,bert_llm-RandomForest,0.7676767676767676,0.8484848484848485,-0.08080808080808088,99,1,9,1.0,0.021484375
bert-LightGBM,bert_llm-SVC,0.7676767676767676,0.8585858585858586,-0.09090909090909094,99,4,13,4.0,0.049041748046875
bert-LightGBM,bert_meta-LogisticRegression,0.7676767676767676,0.8282828282828283,-0.06060606060606066,99,8,14,8.0,0.28627872467041016
bert-LightGBM,bert_meta-RandomForest,0.7676767676767676,0.8282828282828283,-0.06060606060606066,99,2,8,2.0,0.109375
bert-LightGBM,bert_meta-SVC,0.7676767676767676,0.7878787878787878,-0.02020202020202022,99,11,13,11.0,0.8388197422027588
bert-LightGBM,bert_num-LogisticRegression,0.7676767676767676,0.797979797979798,-0.030303030303030387,99,8,11,8.0,0.6476058959960938
bert-LightGBM,bert_num-RandomForest,0.7676767676767676,0.8282828282828283,-0.06060606060606066,99,1,7,1.0,0.0703125
bert-LightGBM,bert_num-SVC,0.7676767676767676,0.7474747474747475,0.02020202020202011,99,11,9,9.0,0.8238029479980469
bert-LightGBM,tfidf-DecisionTree,0.7676767676767676,0.6868686868686869,0.08080808080808077,99,21,13,13.0,0.22948101302608848
bert-LightGBM,tfidf-GradientBoosting,0.7676767676767676,0.6565656565656566,0.11111111111111105,99,22,11,11.0,0.08014331245794892
bert-LightGBM,tfidf-KNeighbors,0.7676767676767676,0.5757575757575758,0.19191919191919182,99,30,11,11.0,0.00432400493446039
bert-LightGBM,tfidf-LightGBM,0.7676767676767676,0.6666666666666666,0.101010101010101,99,21,11,11.0,0.11018416518345475
bert-LightGBM,tfidf-LogisticRegression,0.7676767676767676,0.6666666666666666,0.101010101010101,99,21,11,11.0,0.11018416518345475
bert-LightGBM,tfidf-MultinomialNB,0.7676767676767676,0.5757575757575758,0.19191919191919182,99,31,12,12.0,0.005401572654591291
bert-LightGBM,tfidf-RandomForest,0.7676767676767676,0.7272727272727273,0.04040404040404033,99,17,13,13.0,0.5846647117286922
bert-LightGBM,tfidf-SVC,0.7676767676767676,0.6565656565656566,0.11111111111111105,99,21,10,10.0,0.07075554598122835
bert-LightGBM,tfidf-XGBoost,0.7676767676767676,0.6161616161616161,0.1515151515151515,99,25,10,10.0,0.016673847800120715
bert-LogisticRegression,bert-RandomForest,0.797979797979798,0.8585858585858586,-0.06060606060606055,99,5,11,5.0,0.210113525390625
bert-LogisticRegression,bert-SVC,0.797979797979798,0.8383838383838383,-0.04040404040404033,99,4,8,4.0,0.3876953125
bert-LogisticRegression,bert-XGBoost,0.797979797979798,0.7878787878787878,0.010101010101010166,99,8,7,7.0,1.0
bert-LogisticRegression,bert_llm-LogisticRegression,0.797979797979798,0.8484848484848485,-0.0505050505050505,99,4,9,4.0,0.266845703125
bert-LogisticRegression,bert_llm-RandomForest,0.797979797979798,0.8484848484848485,-0.0505050505050505,99,6,11,6.0,0.332305908203125
bert-LogisticRegression,bert_llm-SVC,0.797979797979798,0.8585858585858586,-0.06060606060606055,99,4,10,4.0,0.1795654296875
bert-LogisticRegression,bert_meta-LogisticRegression,0.797979797979798,0.8282828282828283,-0.030303030303030276,99,6,9,6.0,0.6072387695312499
bert-LogisticRegression,bert_meta-RandomForest,0.797979797979798,0.8282828282828283,-0.030303030303030276,99,7,10,7.0,0.629058837890625
bert-LogisticRegression,bert_meta-SVC,0.797979797979798,0.7878787878787878,0.010101010101010166,99,7,6,6.0,1.0
bert-LogisticRegression,bert_num-LogisticRegression,0.797979797979798,0.797979797979798,0.0,99,7,7,7.0,1.0
bert-LogisticRegression,bert_num-RandomForest,0.797979797979798,0.8282828282828283,-0.030303030303030276,99,7,10,7.0,0.629058837890625
bert-LogisticRegression,bert_num-SVC,0.797979797979798,0.7474747474747475,0.0505050505050505,99,9,4,4.0,0.266845703125
bert-LogisticRegression,tfidf-DecisionTree,0.797979797979798,0.6868686868686869,0.11111111111111116,99,23,12,12.0,0.08953107893466952
bert-LogisticRegression,tfidf-GradientBoosting,0.797979797979798,0.6565656565656566,0.14141414141414144,99,24,10,10.0,0.024306510109454393
bert-LogisticRegression,tfidf-KNeighbors,0.797979797979798,0.5757575757575758,0.2222222222222222,99,30,8,8.0,0.0004719867429230362
bert-LogisticRegression,tfidf-LightGBM,0.797979797979798,0.6666666666666666,0.13131313131313138,99,21,8,8.0,0.0241195447742939
bert-LogisticRegression,tfidf-LogisticRegression,0.797979797979798,0.6666666666666666,0.13131313131313138,99,23,10,10.0,0.03508203336969018
bert-LogisticRegression,tfidf-MultinomialNB,0.797979797979798,0.5757575757575758,0.2222222222222222,99,29,7,7.0,0.00031255115754902363
bert-LogisticRegression,tfidf-RandomForest,0.797979797979798,0.7272727272727273,0.07070707070707072,99,16,9,9.0,0.2295229434967041
bert-LogisticRegression,tfidf-SVC,0.797979797979798,0.6565656565656566,0.14141414141414144,99,22,8,8.0,0.016124801710247997
bert-LogisticRegression,tfidf-XGBoost,0.797979797979798,0.6161616161616161,0.18181818181818188,99,28,10,10.0,0.0050976432976312935
bert-RandomForest,bert-SVC,0.8585858585858586,0.8383838383838383,0.02020202020202022,99,3,1,1.0,0.625
bert-RandomForest,bert-XGBoost,0.8585858585858586,0.7878787878787878,0.07070707070707072,99,8,1,1.0,0.0390625
bert-RandomForest,bert_llm-LogisticRegression,0.8585858585858586,0.8484848484848485,0.010101010101010055,99,5,4,4.0,1.0
bert-RandomForest,bert_llm-RandomForest,0.8585858585858586,0.8484848484848485,0.010101010101010055,99,3,2,2.0,1.0
bert-RandomForest,bert_llm-SVC,0.8585858585858586,0.8585858585858586,0.0,99,4,4,4.0,1.0
bert-RandomForest,bert_meta-LogisticRegression,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,10,7,7.0,0.629058837890625
bert-RandomForest,bert_meta-RandomForest,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,5,2,2.0,0.453125
bert-RandomForest,bert_meta-SVC,0.8585858585858586,0.7878787878787878,0.07070707070707072,99,13,6,6.0,0.1670684814453125
bert-RandomForest,bert_num-LogisticRegression,0.8585858585858586,0.797979797979798,0.06060606060606055,99,10,4,4.0,0.1795654296875
bert-RandomForest,bert_num-RandomForest,0.8585858585858586,0.8282828282828283,0.030303030303030276,99,4,1,1.0,0.375
bert-RandomForest,bert_num-SVC,0.8585858585858586,0.7474747474747475,0.11111111111111105,99,13,2,2.0,0.00738525390625
bert-RandomForest,tfidf-DecisionTree,0.8585858585858586,0.6868686868686869,0.1717171717171717,99,24,7,7.0,0.003326892852783203
bert-RandomForest,tfidf-GradientBoosting,0.8585858585858586,0.6565656565656566,0.202020202020202,99,25,5,5.0,0.0003249142318964005
bert-RandomForest,tfidf-KNeighbors,0.8585858585858586,0.5757575757575758,0.28282828282828276,99,33,5,5.0,4.255962267052382e-06
bert-RandomForest,tfidf-LightGBM,0.8585858585858586,0.6666666666666666,0.19191919191919193,99,25,6,6.0,0.0008779102936387062
bert-RandomForest,tfidf-LogisticRegression,0.8585858585858586,0.6666666666666666,0.19191919191919193,99,24,5,5.0,0.0005461126565933228
bert-RandomForest,tfidf-MultinomialNB,0.8585858585858586,0.5757575757575758,0.28282828282828276,99,31,3,3.0,7.660128176212311e-07
bert-RandomForest,tfidf-RandomForest,0.8585858585858586,0.7272727272727273,0.13131313131313127,99,19,6,6.0,0.01463329792022705
bert-RandomForest,tfidf-SVC,0.8585858585858586,0.6565656565656566,0.202020202020202,99,23,3,3.0,8.797645568847656e-05
bert-RandomForest,tfidf-XGBoost,0.8585858585858586,0.6161616161616161,0.24242424242424243,99,30,6,6.0,6.960169412195683e-05
bert-SVC,bert-XGBoost,0.8383838383838383,0.7878787878787878,0.0505050505050505,99,8,3,3.0,0.2265625
bert-SVC,bert_llm-LogisticRegression,0.8383838383838383,0.8484848484848485,-0.010101010101010166,99,3,4,3.0,1.0
bert-SVC,bert_llm-RandomForest,0.8383838383838383,0.8484848484848485,-0.010101010101010166,99,3,4,3.0,1.0
bert-SVC,bert_llm-SVC,0.8383838383838383,0.8585858585858586,-0.02020202020202022,99,2,4,2.0,0.6875
bert-SVC,bert_meta-LogisticRegression,0.8383838383838383,0.8282828282828283,0.010101010101010055,99,9,8,8.0,1.0
bert-SVC,bert_meta-RandomForest,0.8383838383838383,0.8282828282828283,0.010101010101010055,99,5,4,4.0,1.0
bert-SVC,bert_meta-SVC,0.8383838383838383,0.7878787878787878,0.0505050505050505,99,11,6,6.0,0.332305908203125
bert-SVC,bert_num-LogisticRegression,0.8383838383838383,0.797979797979798,0.04040404040404033,99,9,5,5.0,0.4239501953125
bert-SVC,bert_num-RandomForest,0.8383838383838383,0.8282828282828283,0.010101010101010055,99,4,3,3.0,1.0
bert-SVC,bert_num-SVC,0.8383838383838383,0.7474747474747475,0.09090909090909083,99,11,2,2.0,0.0224609375
bert-SVC,tfidf-DecisionTree,0.8383838383838383,0.6868686868686869,0.1515151515151515,99,25,10,10.0,0.016673847800120715
bert-SVC,tfidf-GradientBoosting,0.8383838383838383,0.6565656565656566,0.18181818181818177,99,26,8,8.0,0.0029350556433200836
bert-SVC,tfidf-KNeighbors,0.8383838383838383,0.5757575757575758,0.26262626262626254,99,32,6,6.0,2.4342560209333897e-05
bert-SVC,tfidf-LightGBM,0.8383838383838383,0.6666666666666666,0.1717171717171717,99,24,7,7.0,0.003326892852783203
