split,model,fold,n,n_correct,accuracy,ci_low,ci_high
lodo,tfidf-LightGBM,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-LightGBM,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,tfidf-LightGBM,outros,44,29,0.6590909090909091,0.5113914121793823,0.7812418048065555
lodo,tfidf-LightGBM,política,435,235,0.5402298850574713,0.4932476297678063,0.5865078247283484
lodo,tfidf-LightGBM,saúde,143,84,0.5874125874125874,0.5054672756247353,0.6647843699308099
lodo,tfidf-LogisticRegression,ambiente,22,13,0.5909090909090909,0.38734818476315125,0.7674418380352814
lodo,tfidf-LogisticRegression,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-LogisticRegression,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-LogisticRegression,outros,44,30,0.6818181818181818,0.5344310393781776,0.8000069228914658
lodo,tfidf-LogisticRegression,política,435,261,0.6,0.5532809984021012,0.6449682742026261
lodo,tfidf-LogisticRegression,saúde,143,85,0.5944055944055944,0.5124809185996728,0.6713908586003159
lodo,tfidf-MultinomialNB,ambiente,22,13,0.5909090909090909,0.38734818476315125,0.7674418380352814
lodo,tfidf-MultinomialNB,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-MultinomialNB,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-MultinomialNB,outros,44,29,0.6590909090909091,0.5113914121793823,0.7812418048065555
lodo,tfidf-MultinomialNB,política,435,259,0.5954022988505747,0.5486386005235292,0.6404957629959233
lodo,tfidf-MultinomialNB,saúde,143,84,0.5874125874125874,0.5054672756247353,0.6647843699308099
lodo,tfidf-RandomForest,ambiente,22,15,0.6818181818181818,0.47318597741042745,0.8363940681864375
lodo,tfidf-RandomForest,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-RandomForest,economia,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-RandomForest,outros,44,28,0.6363636363636364,0.48866376879043427,0.7621647029117982
lodo,tfidf-RandomForest,política,435,252,0.5793103448275863,0.532422696190545,0.6248094855304457
lodo,tfidf-RandomForest,saúde,143,85,0.5944055944055944,0.5124809185996728,0.6713908586003159
lodo,tfidf-SVC,ambiente,22,14,0.6363636363636364,0.4295170809013101,0.8026679532963388
lodo,tfidf-SVC,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-SVC,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,tfidf-SVC,outros,44,21,0.4772727272727273,0.33754991032251097,0.6206453443937836
lodo,tfidf-SVC,política,435,263,0.6045977011494252,0.5579275626174153,0.6494366190725868
lodo,tfidf-SVC,saúde,143,76,0.5314685314685315,0.4499302507194689,0.6113603416805273
lodo,tfidf-XGBoost,ambiente,22,15,0.6818181818181818,0.47318597741042745,0.8363940681864375
lodo,tfidf-XGBoost,celebridades,8,5,0.625,0.3057423946026273,0.8631557141764027
lodo,tfidf-XGBoost,economia,8,4,0.5,0.2152160622138775,0.7847839377861225
lodo,tfidf-XGBoost,outros,44,29,0.6590909090909091,0.5113914121793823,0.7812418048065555
lodo,tfidf-XGBoost,política,435,243,0.5586206896551724,0.5116468987156428,0.6045681921216111
lodo,tfidf-XGBoost,saúde,143,82,0.5734265734265734,0.4914882377896604,0.6515231444769974
temporal,bert-DecisionTree,all,99,72,0.7272727272727273,0.6322907548010729,0.8052759669862785
temporal,bert-KNeighbors,all,99,71,0.7171717171717171,0.6216388444158311,0.7964804675143046
temporal,bert-LightGBM,all,99,76,0.7676767676767676,0.6754474972079758,0.8399088640082377
temporal,bert-LogisticRegression,all,99,79,0.797979797979798,0.7084558888292174,0.8652427019586431
temporal,bert-RandomForest,all,99,85,0.8585858585858586,0.7765279060056491,0.9138551439255049
temporal,bert-SVC,all,99,83,0.8383838383838383,0.7534877137077101,0.8980005165090128
temporal,bert-XGBoost,all,99,78,0.7878787878787878,0.6973865358285883,0.8568646451020564
temporal,bert_llm-LogisticRegression,all,99,84,0.8484848484848485,0.7649588925157852,0.9059767475581534
temporal,bert_llm-RandomForest,all,99,84,0.8484848484848485,0.7649588925157852,0.9059767475581534
temporal,bert_llm-SVC,all,99,85,0.8585858585858586,0.7765279060056491,0.9138551439255049
temporal,bert_meta-LogisticRegression,all,99,82,0.8282828282828283,0.7421074301408758,0.8899333902186316
temporal,bert_meta-RandomForest,all,99,82,0.8282828282828283,0.7421074301408758,0.8899333902186316
temporal,bert_meta-SVC,all,99,78,0.7878787878787878,0.6973865358285883,0.8568646451020564
temporal,bert_num-LogisticRegression,all,99,79,0.797979797979798,0.7084558888292174,0.8652427019586431
temporal,bert_num-RandomForest,all,99,82,0.8282828282828283,0.7421074301408758,0.8899333902186316
temporal,bert_num-SVC,all,99,74,0.7474747474747475,0.6537553108987586,0.822706230603024
temporal,tfidf-DecisionTree,all,99,68,0.6868686868686869,0.5899849550902321,0.7697921272682566
temporal,tfidf-GradientBoosting,all,99,65,0.6565656565656566,0.5587561692443305,0.7426786835425115
temporal,tfidf-KNeighbors,all,99,57,0.5757575757575758,0.4773666401385342,0.668488933790583
temporal,tfidf-LightGBM,all,99,66,0.6666666666666666,0.5691204267519375,0.75176183589212
temporal,tfidf-LogisticRegression,all,99,66,0.6666666666666666,0.5691204267519375,0.75176183589212
temporal,tfidf-MultinomialNB,all,99,57,0.5757575757575758,0.4773666401385342,0.668488933790583
temporal,tfidf-RandomForest,all,99,72,0.7272727272727273,0.6322907548010729,0.8052759669862785
temporal,tfidf-SVC,all,99,65,0.6565656565656566,0.5587561692443305,0.7426786835425115
temporal,tfidf-XGBoost,all,99,61,0.6161616161616161,0.5177316737140928,0.7059135396438866
